purpose,h,arrival,departure
edu_kiga,6,6.22568093385214E-5,1.4785992217898833E-4
edu_kiga,7,0.001377431906614786,0.0020544747081712063
edu_kiga,8,0.006233463035019455,0.006568093385214008
edu_kiga,9,0.004062256809338522,0.003058365758754864
edu_kiga,10,3.9688715953307394E-4,3.190661478599222E-4
edu_kiga,11,1.6342412451361867E-4,1.4785992217898833E-4
edu_kiga,12,6.22568093385214E-5,7.003891050583658E-5
edu_kiga,13,5.447470817120623E-5,5.447470817120623E-5
edu_kiga,14,3.11284046692607E-5,6.22568093385214E-5
edu_kiga,15,2.3346303501945524E-4,2.256809338521401E-4
edu_kiga,16,8.560311284046692E-5,5.447470817120623E-5
edu_kiga,17,7.782101167315174E-6,0.0
edu_other,5,7.782101167315174E-6,3.891050583657588E-5
edu_other,6,1.0116731517509727E-4,1.945525291828794E-4
edu_other,7,3.501945525291829E-4,6.070038910505836E-4
edu_other,8,0.0010894941634241246,0.0012140077821011673
edu_other,9,0.0010583657587548638,8.249027237354086E-4
edu_other,10,5.836575875486381E-4,4.124513618677043E-4
edu_other,11,3.3463035019455254E-4,3.891050583657588E-4
edu_other,12,4.747081712062257E-4,4.357976653696498E-4
edu_other,13,4.280155642023346E-4,4.513618677042802E-4
edu_other,14,6.22568093385214E-4,7.081712062256809E-4
edu_other,15,7.315175097276264E-4,7.470817120622568E-4
edu_other,16,8.249027237354086E-4,8.171206225680934E-4
edu_other,17,6.536964980544747E-4,5.447470817120623E-4
edu_other,18,4.747081712062257E-4,4.357976653696498E-4
edu_other,19,2.1011673151750973E-4,1.4007782101167315E-4
edu_other,20,3.891050583657588E-5,3.11284046692607E-5
edu_other,21,1.556420233463035E-5,7.782101167315174E-6
edu_primary,6,7.003891050583658E-5,1.245136186770428E-4
edu_primary,7,0.0035175097276264593,0.006607003891050583
edu_primary,8,0.009486381322957198,0.006591439688715953
edu_primary,9,4.8249027237354085E-4,2.568093385214008E-4
edu_primary,10,9.33852140077821E-5,8.560311284046692E-5
edu_primary,11,3.891050583657588E-5,5.447470817120623E-5
edu_primary,12,7.003891050583658E-5,6.22568093385214E-5
edu_primary,13,2.4124513618677042E-4,2.4124513618677042E-4
edu_primary,14,1.3229571984435797E-4,1.3229571984435797E-4
edu_primary,15,1.0894941634241245E-4,1.0116731517509727E-4
edu_primary,16,7.782101167315176E-5,6.22568093385214E-5
edu_primary,17,1.556420233463035E-5,1.556420233463035E-5
edu_primary,18,3.11284046692607E-5,5.447470817120623E-5
edu_primary,19,3.891050583657588E-5,1.556420233463035E-5
edu_primary,22,7.782101167315174E-6,7.782101167315174E-6
edu_secondary,5,0.0,7.782101167315174E-6
edu_secondary,6,4.669260700389105E-5,3.891050583657588E-4
edu_secondary,7,0.00467704280155642,0.009727626459143969
edu_secondary,8,0.010754863813229572,0.00575875486381323
edu_secondary,9,0.0010894941634241246,0.001066147859922179
edu_secondary,10,6.381322957198444E-4,4.2023346303501945E-4
edu_secondary,11,3.190661478599222E-4,2.1011673151750973E-4
edu_secondary,12,2.6459143968871594E-4,2.568093385214008E-4
edu_secondary,13,2.801556420233463E-4,2.801556420233463E-4
edu_secondary,14,1.7120622568093385E-4,1.556420233463035E-4
edu_secondary,15,1.867704280155642E-4,2.178988326848249E-4
edu_secondary,16,1.1673151750972762E-4,7.003891050583658E-5
edu_secondary,17,6.22568093385214E-5,7.782101167315176E-5
edu_secondary,18,1.4007782101167315E-4,1.4785992217898833E-4
edu_secondary,19,7.003891050583658E-5,3.891050583657588E-5
