income,dist_group,main_mode,ref_share,sim_share
1500 - 2000,5000 - 10000,walk,0.001166557213483883,5.535736252921639E-4
1500 - 2000,10000 - 20000,bike,0.0066616403094993904,0.0038135071964571286
1500 - 2000,10000 - 20000,car,0.03414406885265989,0.018821503259933575
1500 - 2000,10000 - 20000,pt,0.06677062189126134,0.08574240373969738
1500 - 2000,10000 - 20000,ride,0.006336838794761071,0.018759995079345552
1500 - 2000,10000 - 20000,walk,7.864807634107506E-4,1.2301636117603641E-4
1500 - 2000,20000+,bike,8.266069780131093E-4,
1500 - 2000,20000+,car,0.01711197866849558,0.010825439783491205
1500 - 2000,20000+,pt,0.023563921291340613,0.027371140361668104
1500 - 2000,20000+,ride,0.003087433990026498,0.0019682617788165826
1500 - 2000,20000+,walk,1.61630772448413E-4,
2000 - 2600,0 - 1000,bike,0.033392386287582995,0.01564988193948712
2000 - 2600,0 - 1000,car,0.011750667173578672,0.00422821371698424
2000 - 2600,0 - 1000,pt,0.0033577219970918923,0.006754159573883914
2000 - 2600,0 - 1000,ride,0.004017675495628648,0.0032398001208061053
2000 - 2600,0 - 1000,walk,0.2418248593465435,0.26731096589973086
2000 - 2600,1000 - 2000,bike,0.04164116355308919,0.05524133765306681
2000 - 2600,1000 - 2000,car,0.025052465274538565,0.008236779968151114
2000 - 2600,1000 - 2000,pt,0.022285701904862766,0.03267256054033276
2000 - 2600,1000 - 2000,ride,0.009089080033748823,0.011806051287683266
2000 - 2600,1000 - 2000,walk,0.049710929706035606,0.03173905881060896
2000 - 2600,2000 - 5000,bike,0.05481272765031414,0.09313052550656195
2000 - 2600,2000 - 5000,car,0.05465689217029469,0.011641315688320244
2000 - 2600,2000 - 5000,pt,0.07246185418226436,0.07001262972928447
2000 - 2600,2000 - 5000,ride,0.016283688182049984,0.038712865850310245
2000 - 2600,2000 - 5000,walk,0.012605924522216998,0.0012629729284498376
2000 - 2600,5000 - 10000,bike,0.025026108853535477,0.0327274724067871
2000 - 2600,5000 - 10000,car,0.05914158168028776,0.014551644610400304
2000 - 2600,5000 - 10000,pt,0.08092420950471652,0.08478392180550215
2000 - 2600,5000 - 10000,ride,0.011312420356964784,0.048651913678545926
2000 - 2600,5000 - 10000,walk,0.0021656022200766834,2.7455933227170387E-4
2000 - 2600,10000 - 20000,bike,0.006504474812229927,0.003020152654988742
2000 - 2600,10000 - 20000,car,0.040600067690888426,0.016253912470484865
2000 - 2600,10000 - 20000,pt,0.06149690620492426,0.08522321673713687
2000 - 2600,10000 - 20000,ride,0.006925265490792309,0.020427214321014766
2000 - 2600,10000 - 20000,walk,3.73972377746059E-4,1.6473559936302232E-4
2000 - 2600,20000+,bike,3.281050789348971E-4,5.491186645434077E-5
2000 - 2600,20000+,car,0.022844216579649936,0.008346603701059798
2000 - 2600,20000+,pt,0.024461236274549023,0.031025204546702535
2000 - 2600,20000+,ride,0.004757398109869234,0.0028005051891713795
2000 - 2600,20000+,walk,1.9469728499374168E-4,5.491186645434077E-5
