ref_id,person,weight,n,euclidean_distance,true_mode,pred_mode
20445,berlin_329bf6aa,0.81884215456384,2,621,walk,pt
20445,berlin_329bf6aa,0.81884215456384,3,621,walk,pt
24652,berlin_334a2804,0.90766784263195,0,677,bike,walk
24652,berlin_334a2804,0.90766784263195,1,677,bike,walk
104027,berlin_33e407cc,3.54367713247334,0,506,walk,walk
104027,berlin_33e407cc,3.54367713247334,1,506,walk,walk
6969,berlin_350c94ad,0.56403974423798,0,504,car,walk
6969,berlin_350c94ad,0.56403974423798,1,504,car,walk
195964,berlin_3587ccd3,0.57060926013642,0,14536,pt,pt
195964,berlin_3587ccd3,0.57060926013642,1,14536,pt,pt
195964,berlin_3587ccd3,0.57060926013642,2,2990,bike,pt
195964,berlin_3587ccd3,0.57060926013642,3,2990,bike,pt
160848,berlin_35d0171f,0.58833863050864,0,1667,car,bike
160848,berlin_35d0171f,0.58833863050864,1,1667,car,bike
160848,berlin_35d0171f,0.58833863050864,2,2209,walk,ride
160848,berlin_35d0171f,0.58833863050864,3,2209,walk,ride
203235,berlin_35f3c08f,0.67775502900613,0,1669,bike,bike
203235,berlin_35f3c08f,0.67775502900613,1,1669,bike,bike
64924,berlin_360c15f8,0.6583461706928,0,1985,pt,pt
64924,berlin_360c15f8,0.6583461706928,1,1985,pt,pt
64924,berlin_360c15f8,0.6583461706928,2,2422,pt,pt
64924,berlin_360c15f8,0.6583461706928,3,2422,pt,pt
12069,berlin_3669e6ee,0.62480794813194,0,1471,pt,pt
12069,berlin_3669e6ee,0.62480794813194,1,1471,pt,pt
88840,berlin_3679ed1b,0.72822238813001,0,5496,pt,pt
88840,berlin_3679ed1b,0.72822238813001,1,5496,pt,pt
88840,berlin_3679ed1b,0.72822238813001,2,1148,walk,pt
88840,berlin_3679ed1b,0.72822238813001,3,1148,walk,pt
227376,berlin_3691438e,0.83930677761666,0,595,walk,pt
227376,berlin_3691438e,0.83930677761666,1,595,walk,walk
227376,berlin_3691438e,0.83930677761666,2,2259,walk,pt
227376,berlin_3691438e,0.83930677761666,3,2259,walk,pt
21904,berlin_36c20e5b,0.59097760487263,0,585,walk,walk
21904,berlin_36c20e5b,0.59097760487263,1,757,walk,walk
21904,berlin_36c20e5b,0.59097760487263,2,357,walk,walk
21904,berlin_36c20e5b,0.59097760487263,3,1229,walk,bike
21904,berlin_36c20e5b,0.59097760487263,4,1229,walk,bike
234327,berlin_36cd7d96,0.48207391284341,0,234,walk,walk
234327,berlin_36cd7d96,0.48207391284341,1,234,walk,walk
234327,berlin_36cd7d96,0.48207391284341,2,883,walk,walk
234327,berlin_36cd7d96,0.48207391284341,3,1019,walk,ride
234327,berlin_36cd7d96,0.48207391284341,4,151,walk,walk
101664,berlin_37cee026,0.63796696655287,0,1393,ride,bike
101664,berlin_37cee026,0.63796696655287,1,1393,ride,bike
179872,berlin_37f03475,0.90863131780524,0,1405,bike,walk
179872,berlin_37f03475,0.90863131780524,1,6420,pt,pt
179872,berlin_37f03475,0.90863131780524,2,9058,pt,pt
179872,berlin_37f03475,0.90863131780524,3,1385,bike,ride
129019,berlin_37fc68b0,0.6386539741938,0,6195,car,bike
129019,berlin_37fc68b0,0.6386539741938,1,6195,car,bike
271570,berlin_380a8144,0.88583447720223,0,15459,pt,pt
271570,berlin_380a8144,0.88583447720223,1,1813,pt,pt
