economic_status,dist_group,main_mode,ref_share,sim_share
very_high,5000 - 10000,bike,0.026207509263161375,0.029855093570232295
very_high,5000 - 10000,car,0.0631967019240507,0.018131508046311806
very_high,5000 - 10000,pt,0.06408662985856174,0.0709968688560402
very_high,5000 - 10000,ride,0.01669413615012988,0.04762251510959005
very_high,5000 - 10000,walk,0.001775540605374485,7.281730139081047E-5
very_high,10000 - 20000,bike,0.00916609078166196,0.002694240151459987
very_high,10000 - 20000,car,0.05422199392062499,0.01718488312823127
very_high,10000 - 20000,pt,0.056513656690959084,0.09138571324546714
very_high,10000 - 20000,ride,0.010116960000757623,0.020607296293599364
very_high,10000 - 20000,walk,0.001184624390542244,2.184519041724314E-4
very_high,20000+,bike,0.0014897594143705273,7.281730139081047E-5
very_high,20000+,car,0.030410677829801225,0.011359499016966432
very_high,20000+,pt,0.02646906618808698,0.03633583339401442
very_high,20000+,ride,0.003984235726180184,0.0036408650695405236
very_high,20000+,walk,4.3434697248873646E-5,7.281730139081047E-5
