employment,dist_group,main_mode,ref_share,sim_share
trainee,1000 - 2000,ride,0.00406640479975337,0.013181818181818182
trainee,1000 - 2000,walk,0.039609004468682076,0.015454545454545452
trainee,2000 - 5000,bike,0.026071327681647955,0.056818181818181816
trainee,2000 - 5000,car,0.03644433692867859,0.010909090909090908
trainee,2000 - 5000,pt,0.0896032154406273,0.05545454545454545
trainee,2000 - 5000,ride,0.00961316044599244,0.04272727272727272
trainee,2000 - 5000,walk,0.004017733129450832,0.002727272727272727
trainee,5000 - 10000,bike,0.013474805871587338,0.04636363636363636
trainee,5000 - 10000,car,0.04039687197050413,0.018636363636363635
trainee,5000 - 10000,pt,0.15447499374463072,0.10636363636363635
trainee,5000 - 10000,ride,0.015751740222842807,0.0559090909090909
trainee,5000 - 10000,walk,0.002764611058302448,0.0013636363636363635
trainee,10000 - 20000,bike,0.003591734235218892,0.006363636363636363
trainee,10000 - 20000,car,0.030580148709696872,0.026363636363636363
trainee,10000 - 20000,pt,0.1837985496187668,0.15590909090909089
trainee,10000 - 20000,ride,0.011237305431667797,0.03409090909090909
trainee,10000 - 20000,walk,0.0,
trainee,20000+,bike,6.740957100523829E-4,9.090909090909089E-4
trainee,20000+,car,0.022406356513658018,0.012727272727272726
trainee,20000+,pt,0.0724474598985253,0.07772727272727271
trainee,20000+,ride,0.0047900616550284,0.006363636363636363
trainee,20000+,walk,9.79544458876718E-4,
job_full_time,0 - 1000,bike,0.030139337785678674,0.01356458192556999
job_full_time,0 - 1000,car,0.010491876131548053,0.004655004129439148
job_full_time,0 - 1000,pt,0.0013598809744634053,0.006707210251019848
job_full_time,0 - 1000,ride,9.737141067612934E-4,0.003653927972570514
job_full_time,0 - 1000,walk,0.18555797811248628,0.19490952774232304
job_full_time,1000 - 2000,bike,0.03757528183899715,0.03924218534925045
job_full_time,1000 - 2000,car,0.02434257240760266,0.007533098080436471
job_full_time,1000 - 2000,pt,0.012125099939636426,0.02722927146682684
job_full_time,1000 - 2000,ride,0.0025421775979380746,0.013039016943213957
job_full_time,1000 - 2000,walk,0.03713073256009517,0.02044698050404185
job_full_time,2000 - 5000,bike,0.06339556433079593,0.07227769852591537
job_full_time,2000 - 5000,car,0.05527537737574321,0.014840954025577497
job_full_time,2000 - 5000,pt,0.05667774866351122,0.062266936957229034
job_full_time,2000 - 5000,ride,0.006877058685280378,0.0421703331080912
job_full_time,2000 - 5000,walk,0.010744473390963983,0.0012763721000075084
job_full_time,5000 - 10000,bike,0.04197920375616151,0.03713992541982632
job_full_time,5000 - 10000,car,0.07519810125586639,0.020572115023650427
job_full_time,5000 - 10000,pt,0.08791473887561048,0.09805540956528269
job_full_time,5000 - 10000,ride,0.006851842041427211,0.06657156443176415
job_full_time,5000 - 10000,walk,0.0016415405564862847,4.504842705908853E-4
job_full_time,10000 - 20000,bike,0.013184442284954297,0.003278524413744776
job_full_time,10000 - 20000,car,0.07129160225405815,0.019796281002077237
job_full_time,10000 - 20000,pt,0.08151361323102536,0.12661110693996047
job_full_time,10000 - 20000,ride,0.004736631628841787,0.033836374102159825
job_full_time,10000 - 20000,walk,5.586884147394084E-4,2.502690392171585E-4
job_full_time,20000+,bike,0.0012490068587271434,
job_full_time,20000+,car,0.04056711963849422,0.014590684986360338
job_full_time,20000+,pt,0.035206599770927695,0.050729534249318024
job_full_time,20000+,ride,0.002626655917297562,0.004204519858848262
job_full_time,20000+,walk,2.713396138806587E-4,1.0010761568686339E-4
job_part_time,0 - 1000,bike,0.05788930935252188,0.01820933642340255
job_part_time,0 - 1000,car,0.012600124011170702,0.004729697772312351
job_part_time,0 - 1000,pt,0.0023022363889259505,0.009790474388686564
job_part_time,0 - 1000,ride,8.752863426891199E-4,0.004067540084188621
job_part_time,0 - 1000,walk,0.20651593711522592,0.23279572435321388
job_part_time,1000 - 2000,bike,0.06120183442984339,0.05027668731968028
job_part_time,1000 - 2000,car,0.026187254055777424,0.011398571631272765
job_part_time,1000 - 2000,pt,0.013670138011963498,0.03575651515868137
job_part_time,1000 - 2000,ride,0.0038638859763716928,0.012060729319396493
job_part_time,1000 - 2000,walk,0.03876773747170083,0.02927682921061345
job_part_time,2000 - 5000,bike,0.0764631165846227,0.08040486212930996
job_part_time,2000 - 5000,car,0.06256351536224046,0.01783096060161756
job_part_time,2000 - 5000,pt,0.0600216466376844,0.06981033911933028
job_part_time,2000 - 5000,ride,0.008006383164056257,0.037695691245329434
job_part_time,2000 - 5000,walk,0.011413641974962621,0.0014662063094168286
job_part_time,5000 - 10000,bike,0.03941403115041603,0.03447949676015703
job_part_time,5000 - 10000,car,0.05348787502585056,0.023601191883838628
job_part_time,5000 - 10000,pt,0.08638440908282295,0.08617509341153103
job_part_time,5000 - 10000,ride,0.0055825350733728395,0.04341862554982738
job_part_time,5000 - 10000,walk,0.001733409888793159,2.83781866338741E-4
job_part_time,10000 - 20000,bike,0.008134087823778351,0.0047769947500354735
job_part_time,10000 - 20000,car,0.03788210760082822,0.022749846284822406
job_part_time,10000 - 20000,pt,0.07732057340507803,0.09776285295369629
job_part_time,10000 - 20000,ride,0.0042621188147322865,0.021378233930851826
job_part_time,10000 - 20000,walk,1.262979901470656E-4,5.67563732677482E-4
job_part_time,20000+,bike,5.251906869208823E-4,
job_part_time,20000+,car,0.014722131884886766,0.010594523009979664
job_part_time,20000+,pt,0.025900077307611968,0.03547273329234263
job_part_time,20000+,ride,0.002065947509913174,0.0031216005297261514
job_part_time,20000+,walk,1.1715987509080905E-4,4.72969777231235E-5
other,0 - 1000,bike,0.04930384107342923,0.01481481481481481
other,0 - 1000,car,0.011788223194744126,0.006327160493827158
other,0 - 1000,pt,0.0013729829565074935,0.010493827160493824
other,0 - 1000,ride,0.0017187249197642756,0.003086419753086419
other,0 - 1000,walk,0.2937438405365747,0.3262345679012345
other,1000 - 2000,bike,0.04544589572290246,0.06574074074074072
other,1000 - 2000,car,0.03192982545506678,0.009567901234567898
other,1000 - 2000,pt,0.01702973565121598,0.046604938271604925
other,1000 - 2000,ride,0.00312445438232703,0.011882716049382713
other,1000 - 2000,walk,0.09423363848630212,0.046759259259259243
other,2000 - 5000,bike,0.053031784306758735,0.07962962962962959
other,2000 - 5000,car,0.0587406381989171,0.018827160493827155
other,2000 - 5000,pt,0.06116382459167897,0.08749999999999998
other,2000 - 5000,ride,0.00818344587606724,0.026388888888888882
