Iteration;bike_travel;bike_wait;car_travel;car_wait;freight_travel;freight_wait;pt_travel;pt_wait;ride_travel;ride_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
118;11122;0;23091;0;6830;0;14966;3778;4601;0;0;0;27580;0
119;11214;0;22848;0;6764;0;14979;3703;4613;0;0;0;27381;0
120;11125;0;22634;0;6726;0;14968;3686;4621;0;0;0;27670;0
121;11286;0;22189;0;6777;0;14961;3742;4617;0;0;0;27394;0
122;11200;0;22425;0;6803;0;14963;3684;4656;0;0;0;27189;0
123;10988;0;22416;0;6727;0;15027;3661;4680;0;0;0;27162;0
124;11151;0;22310;0;6783;0;15020;3714;4644;0;0;0;27280;0
125;10994;0;22615;0;6772;0;15092;3732;4606;0;0;0;27268;0
126;11129;0;22362;0;6741;0;14998;3671;4614;0;0;0;27496;0
127;11130;0;22360;0;6786;0;15049;3718;4649;0;0;0;27241;0
128;10897;0;21989;0;6801;0;15087;3713;4673;0;0;0;27419;0
129;10902;0;22265;0;6691;0;15105;3690;4571;0;0;0;27442;0
130;10980;0;22213;0;6701;0;15050;3687;4649;0;0;0;26819;0
131;11032;0;22309;0;6714;0;15077;3663;4625;0;0;0;27104;0
132;10957;0;22283;0;6755;0;15108;3643;4646;0;0;0;26807;0
133;11066;0;22289;0;6752;0;15062;3676;4632;0;0;0;27139;0
134;11130;0;22306;0;6705;0;15014;3661;4588;0;0;0;27279;0
135;11143;0;22335;0;6705;0;15134;3706;4535;0;0;0;27145;0
136;11027;0;21976;0;6845;0;15121;3707;4605;0;0;0;27304;0
137;11048;0;22410;0;6807;0;15165;3744;4627;0;0;0;26920;0
138;11081;0;22455;0;6749;0;15175;3711;4534;0;0;0;27058;0
139;10858;0;22563;0;6724;0;15098;3731;4591;0;0;0;27169;0
140;10935;0;21932;0;6758;0;15089;3624;4663;0;0;0;27154;0
141;10918;0;22009;0;6743;0;15196;3703;4626;0;0;0;26740;0
142;11069;0;22437;0;6741;0;15076;3709;4546;0;0;0;27026;0
143;10966;0;22079;0;6754;0;15190;3690;4573;0;0;0;26823;0
144;11006;0;22188;0;6803;0;15189;3653;4609;0;0;0;27215;0
145;10969;0;22096;0;6744;0;15168;3687;4595;0;0;0;26731;0
146;10982;0;21943;0;6698;0;15188;3744;4644;0;0;0;27255;0
147;10784;0;21704;0;6722;0;15183;3677;4651;0;0;0;26995;0
148;10847;0;22116;0;6666;0;15234;3708;4597;0;0;0;27014;0
149;11057;0;21760;0;6726;0;15173;3668;4638;0;0;0;26705;0
150;10808;0;22054;0;6698;0;15200;3760;4637;0;0;0;27041;0
151;10840;0;21975;0;6757;0;15247;3656;4639;0;0;0;26853;0
152;10806;0;21746;0;6646;0;15262;3703;4605;0;0;0;26996;0
153;10905;0;21687;0;6738;0;15289;3797;4605;0;0;0;26598;0
154;10886;0;21833;0;6590;0;15232;3722;4566;0;0;0;26939;0
155;10891;0;22062;0;6724;0;15235;3684;4559;0;0;0;27169;0
156;10896;0;22041;0;6729;0;15237;3722;4571;0;0;0;26622;0
157;10818;0;21978;0;6746;0;15188;3680;4595;0;0;0;26682;0
158;10888;0;21562;0;6677;0;15203;3675;4578;0;0;0;26999;0
159;10975;0;22049;0;6724;0;15131;3610;4635;0;0;0;26681;0
160;10873;0;21892;0;6719;0;15143;3625;4686;0;0;0;26589;0
161;10907;0;21846;0;6733;0;15161;3610;4643;0;0;0;26637;0
162;10891;0;22079;0;6707;0;15237;3668;4553;0;0;0;26761;0
163;10917;0;22026;0;6639;0;15211;3676;4618;0;0;0;26527;0
164;11044;0;21623;0;6679;0;15212;3628;4559;0;0;0;26927;0
165;11103;0;21588;0;6670;0;15132;3693;4584;0;0;0;26769;0
166;10976;0;21600;0;6644;0;15180;3653;4588;0;0;0;26704;0
167;10926;0;21442;0;6642;0;15168;3606;4606;0;0;0;26526;0
168;10899;0;21474;0;6637;0;15204;3594;4587;0;0;0;26802;0
169;10794;0;21677;0;6702;0;15203;3616;4627;0;0;0;26740;0
170;10756;0;21652;0;6633;0;15314;3595;4543;0;0;0;26486;0
171;10884;0;21586;0;6612;0;15230;3619;4616;0;0;0;26460;0
172;10811;0;21746;0;6681;0;15262;3564;4570;0;0;0;26373;0
173;10836;0;21361;0;6675;0;15331;3648;4552;0;0;0;26328;0
174;11098;0;21377;0;6708;0;15226;3632;4608;0;0;0;26414;0
175;10771;0;21506;0;6648;0;15180;3566;4701;0;0;0;26500;0
176;10799;0;21575;0;6625;0;15224;3638;4622;0;0;0;26699;0
177;10730;0;21037;0;6638;0;15275;3631;4619;0;0;0;26355;0
178;10869;0;21360;0;6628;0;15319;3633;4620;0;0;0;26318;0
179;10800;0;21456;0;6654;0;15214;3569;4672;0;0;0;26452;0
180;10782;0;21344;0;6703;0;15265;3660;4645;0;0;0;26475;0
181;10781;0;21567;0;6642;0;15246;3588;4627;0;0;0;26334;0
182;10945;0;21564;0;6675;0;15261;3568;4592;0;0;0;26357;0
183;10706;0;21288;0;6655;0;15315;3647;4619;0;0;0;26236;0
184;10837;0;21454;0;6607;0;15324;3710;4523;0;0;0;26318;0
185;10744;0;21669;0;6643;0;15343;3582;4584;0;0;0;26310;0
186;10714;0;21527;0;6659;0;15353;3659;4584;0;0;0;25915;0
187;10898;0;21498;0;6594;0;15327;3560;4560;0;0;0;26207;0
188;10755;0;21351;0;6646;0;15341;3634;4596;0;0;0;26101;0
189;10887;0;21165;0;6681;0;15320;3623;4593;0;0;0;26323;0
190;10908;0;21221;0;6673;0;15297;3550;4604;0;0;0;26387;0
191;10734;0;21336;0;6687;0;15211;3577;4618;0;0;0;26393;0
192;10683;0;21308;0;6659;0;15258;3545;4642;0;0;0;26429;0
193;10769;0;21188;0;6722;0;15329;3631;4607;0;0;0;26486;0
194;10688;0;21339;0;6605;0;15317;3589;4646;0;0;0;26127;0
195;10757;0;21415;0;6603;0;15304;3556;4602;0;0;0;26249;0
196;10861;0;21186;0;6599;0;15337;3594;4587;0;0;0;25989;0
197;10828;0;21586;0;6699;0;15304;3593;4608;0;0;0;26267;0
198;10671;0;21371;0;6664;0;15388;3583;4536;0;0;0;26218;0
199;10730;0;21173;0;6659;0;15316;3510;4605;0;0;0;26414;0
200;10727;0;21135;0;6607;0;15418;3568;4590;0;0;0;26229;0
201;10824;0;21197;0;6645;0;15419;3524;4521;0;0;0;25971;0
202;10783;0;21593;0;6662;0;15345;3585;4552;0;0;0;25631;0
203;10792;0;21197;0;6698;0;15396;3555;4487;0;0;0;26104;0
204;10816;0;21117;0;6636;0;15393;3566;4565;0;0;0;25976;0
205;10701;0;20859;0;6590;0;15384;3541;4568;0;0;0;26318;0
206;10843;0;21339;0;6623;0;15341;3548;4566;0;0;0;25894;0
207;10787;0;21135;0;6642;0;15395;3523;4593;0;0;0;26259;0
208;10864;0;20707;0;6653;0;15391;3538;4581;0;0;0;26074;0
209;10763;0;21171;0;6635;0;15414;3632;4535;0;0;0;26089;0
210;10674;0;21292;0;6602;0;15304;3533;4574;0;0;0;26311;0
211;10764;0;21254;0;6667;0;15406;3578;4565;0;0;0;25704;0
212;10565;0;20957;0;6671;0;15408;3568;4622;0;0;0;25892;0
213;10796;0;20960;0;6610;0;15431;3612;4563;0;0;0;25820;0
214;10698;0;21211;0;6634;0;15399;3545;4529;0;0;0;26043;0
215;10733;0;20984;0;6647;0;15467;3577;4546;0;0;0;25869;0
216;10789;0;20827;0;6592;0;15466;3553;4579;0;0;0;25665;0
217;10766;0;21120;0;6619;0;15384;3569;4571;0;0;0;26240;0
218;10649;0;20946;0;6561;0;15426;3528;4552;0;0;0;26022;0
219;10779;0;21176;0;6606;0;15435;3564;4546;0;0;0;25527;0
220;10605;0;20776;0;6575;0;15429;3544;4601;0;0;0;25823;0
221;10671;0;20981;0;6590;0;15478;3502;4526;0;0;0;25776;0
222;10630;0;20815;0;6634;0;15470;3584;4557;0;0;0;25621;0
223;10604;0;20719;0;6552;0;15473;3465;4595;0;0;0;25758;0
224;10582;0;21024;0;6554;0;15427;3520;4626;0;0;0;25723;0
225;10728;0;20826;0;6495;0;15450;3517;4580;0;0;0;25977;0
226;10659;0;20803;0;6534;0;15456;3515;4627;0;0;0;26042;0
227;10750;0;20751;0;6554;0;15424;3514;4561;0;0;0;25602;0
228;10630;0;20942;0;6603;0;15493;3511;4564;0;0;0;25611;0
229;10569;0;20930;0;6525;0;15440;3541;4620;0;0;0;25632;0
230;10610;0;20841;0;6561;0;15471;3501;4564;0;0;0;25675;0
231;10587;0;20776;0;6588;0;15439;3527;4584;0;0;0;25977;0
232;10565;0;20602;0;6547;0;15484;3470;4586;0;0;0;25798;0
233;10672;0;20894;0;6491;0;15450;3489;4570;0;0;0;25648;0
234;10587;0;20870;0;6548;0;15467;3529;4555;0;0;0;25573;0
235;10613;0;20763;0;6540;0;15514;3497;4572;0;0;0;25385;0
236;10710;0;20617;0;6535;0;15524;3533;4579;0;0;0;25489;0
237;10663;0;20477;0;6514;0;15486;3501;4593;0;0;0;25752;0
238;10683;0;20801;0;6546;0;15482;3557;4552;0;0;0;25585;0
239;10643;0;20808;0;6567;0;15516;3473;4576;0;0;0;25392;0
240;10473;0;20835;0;6513;0;15519;3536;4598;0;0;0;25453;0
241;10696;0;20931;0;6535;0;15441;3521;4573;0;0;0;25843;0
242;10616;0;20683;0;6483;0;15489;3512;4588;0;0;0;25450;0
243;10610;0;20924;0;6563;0;15492;3512;4562;0;0;0;25483;0
244;10559;0;20733;0;6603;0;15484;3466;4564;0;0;0;25474;0
