it;globalInnovationRate_person;ChangeExpBeta_person;ReRoute_person;TimeAllocationMutator_person;SubtourModeChoice_person
204;0.2530;0.7470;0.0843;0.0843;0.0843
205;0.2519;0.7481;0.0840;0.0840;0.0840
206;0.2508;0.7492;0.0836;0.0836;0.0836
207;0.2497;0.7503;0.0832;0.0832;0.0832
208;0.2487;0.7513;0.0829;0.0829;0.0829
209;0.2476;0.7524;0.0825;0.0825;0.0825
210;0.2465;0.7535;0.0822;0.0822;0.0822
211;0.2454;0.7546;0.0818;0.0818;0.0818
212;0.2443;0.7557;0.0814;0.0814;0.0814
213;0.2432;0.7568;0.0811;0.0811;0.0811
214;0.2421;0.7579;0.0807;0.0807;0.0807
215;0.2410;0.7590;0.0803;0.0803;0.0803
216;0.2399;0.7601;0.0800;0.0800;0.0800
217;0.2388;0.7612;0.0796;0.0796;0.0796
218;0.2377;0.7623;0.0792;0.0792;0.0792
219;0.2366;0.7634;0.0789;0.0789;0.0789
220;0.2355;0.7645;0.0785;0.0785;0.0785
221;0.2344;0.7656;0.0781;0.0781;0.0781
222;0.2333;0.7667;0.0778;0.0778;0.0778
223;0.2322;0.7678;0.0774;0.0774;0.0774
224;0.2311;0.7689;0.0770;0.0770;0.0770
225;0.2300;0.7700;0.0767;0.0767;0.0767
226;0.2289;0.7711;0.0763;0.0763;0.0763
227;0.2278;0.7722;0.0759;0.0759;0.0759
228;0.2267;0.7733;0.0756;0.0756;0.0756
229;0.2256;0.7744;0.0752;0.0752;0.0752
230;0.2245;0.7755;0.0748;0.0748;0.0748
231;0.2234;0.7766;0.0745;0.0745;0.0745
232;0.2223;0.7777;0.0741;0.0741;0.0741
233;0.2212;0.7788;0.0737;0.0737;0.0737
234;0.2201;0.7799;0.0734;0.0734;0.0734
235;0.2190;0.7810;0.0730;0.0730;0.0730
236;0.2179;0.7821;0.0726;0.0726;0.0726
237;0.2168;0.7832;0.0723;0.0723;0.0723
238;0.2157;0.7843;0.0719;0.0719;0.0719
239;0.2146;0.7854;0.0715;0.0715;0.0715
240;0.2135;0.7865;0.0712;0.0712;0.0712
241;0.2124;0.7876;0.0708;0.0708;0.0708
242;0.2113;0.7887;0.0704;0.0704;0.0704
243;0.2103;0.7897;0.0701;0.0701;0.0701
244;0.2092;0.7908;0.0697;0.0697;0.0697
245;0.2081;0.7919;0.0694;0.0694;0.0694
246;0.2070;0.7930;0.0690;0.0690;0.0690
247;0.2059;0.7941;0.0686;0.0686;0.0686
248;0.2048;0.7952;0.0683;0.0683;0.0683
249;0.2037;0.7963;0.0679;0.0679;0.0679
250;0.2026;0.7974;0.0675;0.0675;0.0675
251;0.2016;0.7984;0.0672;0.0672;0.0672
252;0.2005;0.7995;0.0668;0.0668;0.0668
253;0.1994;0.8006;0.0665;0.0665;0.0665
254;0.1983;0.8017;0.0661;0.0661;0.0661
255;0.1972;0.8028;0.0657;0.0657;0.0657
256;0.1962;0.8038;0.0654;0.0654;0.0654
257;0.1951;0.8049;0.0650;0.0650;0.0650
258;0.1940;0.8060;0.0647;0.0647;0.0647
259;0.1930;0.8070;0.0643;0.0643;0.0643
260;0.1919;0.8081;0.0640;0.0640;0.0640
261;0.1908;0.8092;0.0636;0.0636;0.0636
262;0.1898;0.8102;0.0633;0.0633;0.0633
263;0.1887;0.8113;0.0629;0.0629;0.0629
264;0.1876;0.8124;0.0625;0.0625;0.0625
265;0.1866;0.8134;0.0622;0.0622;0.0622
266;0.1855;0.8145;0.0618;0.0618;0.0618
267;0.1845;0.8155;0.0615;0.0615;0.0615
268;0.1834;0.8166;0.0611;0.0611;0.0611
