iteration;avg_executed;avg_worst;avg_average;avg_best
57;-50.8969988342369;-91.74412699868697;-68.06048833157156;-39.989841364333074
58;-49.69660220968678;-90.15311361058716;-67.49200318352861;-39.966020489877636
59;-50.688807233738835;-89.26713256255334;-67.11592312898168;-39.88615782815811
60;-48.40717469599758;-87.88888475372373;-66.39333094858928;-39.83066680669077
61;-50.48328965621997;-87.8745540142816;-66.24146069864982;-39.6215605509834
62;-48.592498410526815;-86.40296515858914;-65.4723249208137;-39.19680740016636
63;-49.89067846962533;-86.3240089719738;-65.34230239556847;-39.63387144221133
64;-49.018410129581476;-85.7498024650878;-64.90108376304426;-39.389970500365415
65;-50.12241984012874;-85.41081873711884;-64.6500048756728;-39.09651121614704
66;-50.61256758530388;-84.6431021047804;-64.55817220211446;-39.42778223409216
67;-49.43687610979948;-83.84636387735388;-64.19270419061759;-39.43218802362417
68;-50.83052324303453;-83.69700014609977;-64.1840022963342;-39.49759175079367
69;-50.452102262037855;-83.17587254770494;-63.7862605523949;-39.48851390957571
70;-50.694598106177935;-82.50371300371353;-63.506159768319705;-39.42972753541513
71;-49.869345828719645;-82.18358293805227;-63.14373088617417;-39.08542689549705
72;-49.90636231821848;-80.8273950337094;-62.6995882799975;-38.856153686955935
73;-49.21469916048086;-79.7691366808371;-62.29374543365843;-38.90060080934004
74;-49.65430157888774;-79.59429024145777;-62.224889265396456;-39.031691835416474
75;-48.869101553762036;-79.34128624310439;-61.93593618417064;-38.92857214087652
76;-50.73473557176663;-79.90521025089382;-62.03053760961962;-39.014493329710454
77;-50.01205960911666;-79.48554603035252;-61.79227740758789;-38.962523207762665
78;-49.029617714292904;-79.05111443186884;-61.50809538626993;-38.81353767862052
79;-49.632789980437735;-78.94321163212778;-61.38840110999811;-38.92643310490292
80;-50.62536889590647;-79.16348214428561;-61.3984113647117;-39.20366209825028
81;-49.92014532517323;-78.26012105030432;-61.01944267542571;-38.98533128645208
82;-50.3175080380017;-77.85216261738545;-60.77130149480367;-38.88217788320947
