Iteration;bike;car;freight;pt;ride;walk
223;119876;579644;234668;504690;164523;114248
224;119627;579481;234952;502432;165264;114094
225;121279;577739;234546;502164;164110;115217
226;120501;576555;235045;503625;165377;115505
227;121527;581847;234413;502082;162812;113554
228;120178;578251;235167;504274;163253;113599
229;119488;577710;233834;503232;165768;113689
230;119949;579094;234929;504355;163590;113878
231;119686;577131;235035;502948;164079;115218
232;119436;577027;234859;505245;164084;114424
233;120648;579186;234632;503124;163345;113759
234;119686;580608;234651;504330;163326;113427
235;119986;579661;234830;504871;163542;112596
236;121082;576251;234406;505134;164054;113057
237;120542;574442;234074;505069;164176;114220
238;120769;578251;234859;504199;162760;113480
239;120320;576758;235176;506962;163501;112625
240;118394;576994;234131;506002;164586;112899
241;120918;578122;234266;501887;163633;114625
242;120017;577847;233753;504773;164801;112884
243;119950;579691;234463;504536;162933;113029
244;119365;578569;234128;503898;163459;112993
245;119441;578971;234134;503835;165277;113507
246;121176;577186;234406;505762;162875;111982
247;120040;577933;234824;505476;162612;112281
248;119089;576606;234574;506716;163976;112020
249;119357;575731;235235;507992;163055;112319
250;120631;576107;234505;506638;165633;111244
251;118569;580473;234115;506405;162497;111257
252;117757;578706;234436;510538;161482;112127
253;119402;576155;234435;506892;162950;112028
254;119944;577523;234239;506689;163409;111630
255;120012;576437;234483;506881;162799;112555
256;121423;576448;233688;506858;162774;111800
257;119180;576033;233923;507880;162036;112756
258;118097;577467;233917;507897;163503;111777
259;119064;578303;233601;506345;161400;112070
260;119206;578098;234412;507199;163640;111730
261;119103;576723;234064;508262;162158;112434
262;119316;576877;234842;507690;163949;110853
263;118118;578236;234063;507266;161848;111931
264;118729;577893;233782;508383;162421;111356
265;119523;576014;234094;510135;161567;110790
266;119717;577789;233529;508561;162330;110004
267;119553;575719;233985;508347;162737;111491
268;118118;577617;234248;506467;164677;111528
269;116022;576860;234030;509701;163471;109995
270;119219;575053;234385;506069;164104;112440
271;118358;577695;234000;509961;162103;110535
272;118111;577357;234340;507772;162858;112275
273;119844;576917;234206;508806;163821;110453
274;118638;577761;234168;509482;162536;109935
275;118067;576297;234386;511401;163708;109822
276;118125;577256;234219;508213;163492;110692
277;119793;574606;234114;510561;163125;110569
278;119875;576065;233414;508189;162731;111271
279;118928;578084;234703;509648;163266;110755
280;117403;574973;233674;508632;163406;111834
281;117729;576398;233773;508937;164101;109665
282;118473;574486;234077;509951;163690;110608
283;119121;575898;233855;509536;163051;109787
284;119525;575598;234821;509792;162106;110392
285;118037;576307;234971;509320;165084;110361
286;118658;578056;233922;507578;163017;111133
287;119019;574420;233532;508316;163877;110776
288;120269;573098;234112;509647;162313;110172
289;117773;578570;234700;509170;163370;109000
290;118730;575947;234546;508289;163646;109028
291;119332;572043;234323;511308;163956;110059
292;117302;577717;233934;511101;162644;109857
293;118572;575650;233519;509302;164401;109712
294;118589;573656;234321;510991;164238;109632
295;119399;574218;234124;507582;166395;109529
296;118755;573930;233817;510384;164261;109329
297;118049;576429;233729;509660;163950;108223
298;118763;575638;234141;511164;163600;108584
299;118262;574581;234398;511067;163429;109850
300;118303;575911;234156;512293;161900;108839
301;117891;575992;234039;512169;161824;109398
302;117347;577840;233406;509978;163287;109673
303;118111;574048;233672;512217;164469;109794
304;116841;575907;234670;510417;164273;108905
305;117866;576174;234024;510104;164952;108881
306;118022;577179;233464;511011;162497;108417
307;119829;577014;233649;510990;162198;108469
308;119478;574250;234081;511870;163291;107975
309;118977;576632;233935;509325;165236;108154
310;117869;576961;233314;512681;162022;108383
311;117776;574054;233580;510893;164166;107785
