ITERATION;avg. Average Leg distance;avg. Average Trip distance
61;3997.709656467299;9583.216957989423
62;3991.9351002582202;9583.116236460113
63;3990.72329155752;9578.006756706114
64;3987.9305518673104;9575.149602865267
65;3997.554989485762;9575.196657567638
66;3986.773049428167;9571.230473971757
67;3978.323167301125;9568.701373133852
68;3988.6631468938654;9580.501448255727
69;3983.797074973371;9579.15468851409
70;3993.629901876232;9584.570370834508
71;3983.903619356485;9574.863469140055
72;3985.3616733845247;9557.54221793287
73;3991.030683139027;9566.872730355824
74;3977.5750052521253;9567.968967873656
75;3981.1618752253794;9564.90572190523
76;3978.6139180557216;9560.766339059517
77;3982.3481099379937;9570.109514567237
78;3977.497111102421;9560.385632855656
79;3981.6085645394364;9565.995231037992
80;3979.562979509301;9558.259735938693
81;3971.102307491468;9559.462796520687
82;3969.453359813664;9558.382679837905
83;3973.9489982482187;9556.76265333701
84;3971.9607244939625;9552.917981584023
85;3965.6040337467043;9550.968148608357
86;3964.6485585609453;9544.295257489184
87;3975.0972606089726;9560.538386354501
88;3977.082657273001;9551.777736524535
89;3968.373356487478;9557.193895871187
90;3964.2651874166418;9551.47473686524
91;3977.019616105143;9556.714408153424
92;3959.4590237313887;9536.108198827147
93;3962.1023801182187;9530.551869486686
94;3969.77962345903;9542.276931897302
95;3959.3774764657546;9537.383437207296
96;3951.972117390024;9527.580746174706
97;3956.2052696508213;9541.637037410059
98;3956.7724030654185;9532.793672613125
99;3953.0489548904184;9533.22739556007
100;3952.5505598536333;9526.490796140886
101;3958.992625259746;9530.57478781824
102;3959.099094073845;9547.117573060705
103;3955.003142177022;9522.335897701832
104;3956.2426609237377;9534.374028214464
105;3952.170880928939;9536.94182359203
106;3957.490784503298;9539.645861741494
107;3955.7321853903213;9533.971261288467
108;3955.7834249290413;9540.802161278225
109;3955.702990782013;9530.358451909431
110;3947.1392851339206;9528.218730689976
111;3950.000235236333;9530.18847912952
112;3957.0321568801014;9543.59068034079
113;3949.6679056101216;9512.367440065653
114;3950.9082743173135;9514.830039573699
115;3949.759509924117;9518.548536117047
116;3946.7511442824266;9518.02884157862
117;3952.027053010798;9523.732458259079
118;3949.5256471322405;9516.290615793872
119;3942.1918908375046;9514.355071412909
120;3941.7582086662283;9510.922610926957
121;3946.9528731077276;9509.019393439066
122;3943.543305915479;9510.889648378765
123;3938.957447018863;9518.534269575615
124;3945.4206738008825;9519.834572422622
125;3935.9295808784645;9515.04422692957
126;3945.792731236103;9523.099209515924
127;3943.7127456666844;9515.745557939834
128;3933.137016344412;9517.84275079922
129;3933.291042128938;9508.193158683087
130;3943.062536450546;9514.476000592862
131;3930.6297896499395;9511.135663329691
132;3930.2629253989658;9504.52207126495
133;3938.290479778804;9504.802341839142
134;3938.653265046769;9505.95353268543
135;3934.4288082827097;9506.084990727295
136;3942.6145888807246;9511.361148901298
137;3932.699356822112;9504.69065828625
138;3934.023278837026;9512.80716033169
139;3930.9249540451874;9498.751589748
140;3937.1417700662687;9509.338552677487
141;3927.4030133336805;9507.231557100024
142;3933.183680557568;9500.318709543553
143;3931.786198569533;9506.331974665653
144;3936.2353088217137;9496.71175490199
145;3923.567964650538;9495.863108888676
146;3926.8411883203835;9491.307584148817
147;3928.116935243679;9498.338799213374
148;3921.690192132339;9487.50993275279
149;3927.1880673478595;9500.944695903003
150;3928.2448764802994;9498.26236279299
151;3920.8960239744565;9493.517258357238
152;3927.514263045236;9497.182268955306
153;3918.656472395971;9492.251045911411
154;3924.334674499396;9491.097839495473
155;3923.1596382534726;9487.611248872312
156;3927.581510877273;9499.544209004855
157;3928.5900371657403;9500.177221898446
158;3930.003782509869;9497.64941488013
159;3927.4842106727606;9496.040514014578
160;3926.8172712561322;9494.521809910566
161;3919.8800289615533;9482.69500602323
162;3920.573410055173;9485.011902347967
163;3922.322380455381;9484.753872693012
164;3923.948724294831;9481.783891480194
165;3922.7902457507093;9477.80073704024
166;3921.318245316071;9477.231954813333
167;3918.630549462633;9479.92426608598
168;3916.2899768090147;9475.955800419526
169;3921.4260803441994;9479.133210735048
170;3918.224207314824;9491.49355968821
