economic_status,dist_group,main_mode,ref_share,sim_share
low,1000 - 2000,bike,0.04961773460207695,0.057234107269593416
low,1000 - 2000,car,0.019329953900366764,0.004917367940788805
low,1000 - 2000,pt,0.025483245683043533,0.033762546892426235
low,1000 - 2000,ride,0.009185948988387805,0.01089932069350096
low,1000 - 2000,walk,0.05237722044190244,0.03741255196187772
low,2000 - 5000,bike,0.052466234584333846,0.08967859677582883
low,2000 - 5000,car,0.04278374195939727,0.011710432931156848
low,2000 - 5000,pt,0.08432283560598662,0.07416607523066003
low,2000 - 5000,ride,0.01702898827541261,0.02859170637736996
low,2000 - 5000,walk,0.015885053481139822,0.0011659738416303354
low,5000 - 10000,bike,0.022672784003795167,0.036702828753928815
low,5000 - 10000,car,0.04475208451328922,0.012572239683666225
low,5000 - 10000,pt,0.09238030305339276,0.08592720267667037
low,5000 - 10000,ride,0.012354387654785704,0.03741255196187772
low,5000 - 10000,walk,0.0013482692004642123,2.5347257426746423E-4
low,10000 - 20000,bike,0.00606581254281994,0.004968062455642299
low,10000 - 20000,car,0.031209843665855812,0.010240292000405554
low,10000 - 20000,pt,0.0653262065900355,0.09013484740951028
low,10000 - 20000,ride,0.006909609553827318,0.019415999188887756
low,10000 - 20000,walk,5.263054577439737E-4,2.5347257426746423E-4
low,20000+,bike,4.7003197176413144E-4,
low,20000+,car,0.013483593316552238,0.006894454020075026
low,20000+,pt,0.023496583359092254,0.026361147723816276
low,20000+,ride,0.0032589486332435533,0.00410625570313292
low,20000+,walk,2.6533277421522046E-5,5.069451485349284E-5
medium,0 - 1000,bike,0.039117000639270275,0.01707787676012972
medium,0 - 1000,car,0.011217731375356295,0.0030378915390615363
medium,0 - 1000,pt,0.003667414539591027,0.0080873599080422
medium,0 - 1000,ride,0.004000959684676508,0.00242210271357609
medium,0 - 1000,walk,0.23315013838608792,0.2720349768052875
medium,1000 - 2000,bike,0.04558521294999409,0.056344677531918366
medium,1000 - 2000,car,0.025442805363331083,0.005747362371197502
medium,1000 - 2000,pt,0.019434896147692903,0.03370417504823678
medium,1000 - 2000,ride,0.009855997679676026,0.011494724742395004
