income,dist_group,main_mode,ref_share,sim_share
500 - 900,0 - 1000,walk,0.2484900388980447,0.2623574144486692
500 - 900,1000 - 2000,bike,0.04264617334968982,0.07245458386142797
500 - 900,1000 - 2000,car,0.018534858247619204,0.00654837346852556
500 - 900,1000 - 2000,pt,0.029751251528059356,0.039290240811153364
500 - 900,1000 - 2000,ride,0.005996648673162165,0.014575411913814958
500 - 900,1000 - 2000,walk,0.08238910591968338,0.030418250950570346
500 - 900,2000 - 5000,bike,0.05148933107546343,0.09759188846641319
500 - 900,2000 - 5000,car,0.024086347101453735,0.01056189269117026
500 - 900,2000 - 5000,pt,0.10376714303110611,0.07815800591465992
500 - 900,2000 - 5000,ride,0.009941756923120153,0.032953105196451206
500 - 900,2000 - 5000,walk,0.027810893954453943,0.0019011406844106466
500 - 900,5000 - 10000,bike,0.02444356747516974,0.04224757076468104
500 - 900,5000 - 10000,car,0.021823598208739105,0.013730460498521335
500 - 900,5000 - 10000,pt,0.11481850923831595,0.09463455851288552
500 - 900,5000 - 10000,ride,0.004481077471219197,0.03400929446556823
500 - 900,5000 - 10000,walk,0.0015299020696576571,4.224757076468103E-4
500 - 900,10000 - 20000,bike,0.005785773375604517,0.0033798056611744824
500 - 900,10000 - 20000,car,0.013083644583328785,0.009716941275876637
500 - 900,10000 - 20000,pt,0.0785125271572437,0.07921419518377694
500 - 900,10000 - 20000,ride,0.0026437558668103564,0.012885509083227716
500 - 900,10000 - 20000,walk,0.001061215548380429,
500 - 900,20000+,bike,5.099617633072952E-4,
500 - 900,20000+,car,0.0028259746070602057,0.0042247570764681035
500 - 900,20000+,pt,0.02913734121574752,0.018377693282636248
500 - 900,20000+,ride,0.0010010795693204933,0.0029573299535276725
500 - 900,20000+,walk,0.0,
900 - 1500,0 - 1000,bike,0.03598849459141939,0.01262541806020067
900 - 1500,0 - 1000,car,0.008086997634789334,0.003010033444816054
900 - 1500,0 - 1000,pt,0.0052987717024463475,0.009030100334448161
900 - 1500,0 - 1000,ride,0.0019538343304679596,0.0020066889632107026
900 - 1500,0 - 1000,walk,0.2657550676806446,0.2924749163879599
900 - 1500,1000 - 2000,bike,0.040605263162403794,0.0488294314381271
900 - 1500,1000 - 2000,car,0.01812661237956905,0.0037625418060200674
900 - 1500,1000 - 2000,pt,0.030980710717920055,0.03260869565217391
900 - 1500,1000 - 2000,ride,0.005657519926746879,0.011204013377926423
900 - 1500,1000 - 2000,walk,0.052767277220398486,0.03461538461538462
900 - 1500,2000 - 5000,bike,0.048302112782945675,0.0846989966555184
900 - 1500,2000 - 5000,car,0.0400131096865356,0.012374581939799331
900 - 1500,2000 - 5000,pt,0.09014630107046427,0.07725752508361206
900 - 1500,2000 - 5000,ride,0.00971385484617255,0.027341137123745824
900 - 1500,2000 - 5000,walk,0.016648527622471678,0.0017558528428093646
900 - 1500,5000 - 10000,bike,0.02542794849236244,0.037458193979933115
900 - 1500,5000 - 10000,car,0.042103639907011055,0.012123745819397994
900 - 1500,5000 - 10000,pt,0.10420342271601411,0.09005016722408028
900 - 1500,5000 - 10000,ride,0.0076336256875916084,0.03862876254180603
900 - 1500,5000 - 10000,walk,0.00209221136538624,3.3444816053511704E-4
900 - 1500,10000 - 20000,bike,0.005488321233178788,0.005351170568561873
900 - 1500,10000 - 20000,car,0.028042448389659046,0.009782608695652175
900 - 1500,10000 - 20000,pt,0.0686150844425172,0.09088628762541806
900 - 1500,10000 - 20000,ride,0.00489773284647681,0.02190635451505017
900 - 1500,10000 - 20000,walk,3.757036840591023E-4,6.688963210702341E-4
900 - 1500,20000+,bike,5.080049357036463E-4,8.361204013377926E-5
900 - 1500,20000+,car,0.01066048722573624,0.006856187290969901
900 - 1500,20000+,pt,0.027150349480580222,0.028093645484949834
900 - 1500,20000+,ride,0.002383258599110134,0.004180602006688964
900 - 1500,20000+,walk,3.733056392179901E-4,
1500 - 2000,0 - 1000,bike,0.03199595024121871,0.015254028785828513
1500 - 2000,0 - 1000,car,0.00868784119731794,0.003198425390576946
1500 - 2000,0 - 1000,pt,0.004993365067173659,0.007565506212326238
1500 - 2000,0 - 1000,ride,0.0023206260617257154,0.002829376307048837
1500 - 2000,0 - 1000,walk,0.24159595914040996,0.2766022881043178
1500 - 2000,1000 - 2000,bike,0.041114415864531385,0.054742280723336194
1500 - 2000,1000 - 2000,car,0.023491765740579814,0.004797638085865419
1500 - 2000,1000 - 2000,pt,0.02604275793509364,0.035736252921638574
1500 - 2000,1000 - 2000,ride,0.007016076224911016,0.009841308894082912
1500 - 2000,1000 - 2000,walk,0.06013562478859627,0.03376799114282199
1500 - 2000,2000 - 5000,bike,0.046319459096635866,0.08328207651617664
1500 - 2000,2000 - 5000,car,0.05127689250314955,0.009779800713494893
1500 - 2000,2000 - 5000,pt,0.07917696836034206,0.0790995202361914
1500 - 2000,2000 - 5000,ride,0.014397871998404654,0.027555664903432153
1500 - 2000,2000 - 5000,walk,0.017090002385039937,0.0017837372370525276
1500 - 2000,5000 - 10000,bike,0.022045388691979195,0.041456513716324264
1500 - 2000,5000 - 10000,car,0.05014154146035284,0.013101242465247876
1500 - 2000,5000 - 10000,pt,0.09913772578726264,0.09183171361791116
1500 - 2000,5000 - 10000,ride,0.012401987929874406,0.03967277647927173
1500 - 2000,5000 - 10000,walk,0.001166557213483883,4.305572641161274E-4
1500 - 2000,10000 - 20000,bike,0.0066616403094993904,0.00442858900233731
1500 - 2000,10000 - 20000,car,0.03414406885265989,0.011379013408783367
1500 - 2000,10000 - 20000,pt,0.06677062189126134,0.09072456636732684
1500 - 2000,10000 - 20000,ride,0.006336838794761071,0.02005166687169393
1500 - 2000,10000 - 20000,walk,7.864807634107506E-4,1.230163611760364E-4
1500 - 2000,20000+,bike,8.266069780131093E-4,1.230163611760364E-4
1500 - 2000,20000+,car,0.01711197866849558,0.006519867142329929
1500 - 2000,20000+,pt,0.023563921291340613,0.02958543486283675
1500 - 2000,20000+,ride,0.003087433990026498,0.004736129905277401
1500 - 2000,20000+,walk,1.61630772448413E-4,
2000 - 2600,0 - 1000,bike,0.033392386287582995,0.016308824336939212
2000 - 2600,0 - 1000,car,0.011750667173578672,0.0036790950524408328
2000 - 2600,0 - 1000,pt,0.0033577219970918923,0.00708363077260996
2000 - 2600,0 - 1000,ride,0.004017675495628648,0.00208665092526495
2000 - 2600,0 - 1000,walk,0.2418248593465435,0.2688484981604525
2000 - 2600,1000 - 2000,bike,0.04164116355308919,0.05579045631761024
2000 - 2600,1000 - 2000,car,0.025052465274538565,0.006754159573883915
2000 - 2600,1000 - 2000,pt,0.022285701904862766,0.03311185547196749
2000 - 2600,1000 - 2000,ride,0.009089080033748823,0.010488166492779089
2000 - 2600,1000 - 2000,walk,0.049710929706035606,0.03311185547196749
2000 - 2600,2000 - 5000,bike,0.05481272765031414,0.09735873922354621
2000 - 2600,2000 - 5000,car,0.05465689217029469,0.009554664763055295
2000 - 2600,2000 - 5000,pt,0.07246185418226436,0.0752841689089012
2000 - 2600,2000 - 5000,ride,0.016283688182049984,0.030530997748613474
2000 - 2600,2000 - 5000,walk,0.012605924522216998,0.0013727966613585195
2000 - 2600,5000 - 10000,bike,0.025026108853535477,0.039097248915490636
2000 - 2600,5000 - 10000,car,0.05914158168028776,0.010433254626324748
2000 - 2600,5000 - 10000,pt,0.08092420950471652,0.09247158310910987
2000 - 2600,5000 - 10000,ride,0.011312420356964784,0.03794409971994948
2000 - 2600,5000 - 10000,walk,0.0021656022200766834,2.745593322717039E-4
2000 - 2600,10000 - 20000,bike,0.006504474812229927,0.0034594475866234695
2000 - 2600,10000 - 20000,car,0.040600067690888426,0.010158695294053045
2000 - 2600,10000 - 20000,pt,0.06149690620492426,0.09324034923947064
2000 - 2600,10000 - 20000,ride,0.006925265490792309,0.018560210861567183
2000 - 2600,10000 - 20000,walk,3.73972377746059E-4,1.6473559936302235E-4
2000 - 2600,20000+,bike,3.281050789348971E-4,5.4911866454340774E-5
2000 - 2600,20000+,car,0.022844216579649936,0.005875569710614463
2000 - 2600,20000+,pt,0.024461236274549023,0.032727472406787105
2000 - 2600,20000+,ride,0.004757398109869234,0.004118389984075558
2000 - 2600,20000+,walk,1.9469728499374168E-4,5.4911866454340774E-5
2600 - 3000,0 - 1000,bike,0.04149356389552307,0.014356356675705855
2600 - 3000,0 - 1000,car,0.011541052371186121,0.001914180890094114
2600 - 3000,0 - 1000,pt,0.0037531526647850847,0.008055511245812729
2600 - 3000,0 - 1000,ride,0.003712806863678218,0.0017546658159196043
2600 - 3000,0 - 1000,walk,0.22998833449818365,0.2631998723879407
2600 - 3000,1000 - 2000,bike,0.04629551279380722,0.05846227468495773
2600 - 3000,1000 - 2000,car,0.02437230920610378,0.006061572818631361
2600 - 3000,1000 - 2000,pt,0.01820483747470896,0.033896953262083265
2600 - 3000,1000 - 2000,ride,0.010298110670851011,0.011724357951826449
2600 - 3000,1000 - 2000,walk,0.05234216881862283,0.03309937789121072
2600 - 3000,2000 - 5000,bike,0.05609731539035026,0.09507098420800765
2600 - 3000,2000 - 5000,car,0.05119912197216824,0.015712234806189187
2600 - 3000,2000 - 5000,pt,0.07075639388827012,0.07848141649385867
2600 - 3000,2000 - 5000,ride,0.017739166078363386,0.033019620354123466
2600 - 3000,2000 - 5000,walk,0.01368234409862979,0.0015153932046578402
2600 - 3000,5000 - 10000,bike,0.025609365117338957,0.03445525602169405
2600 - 3000,5000 - 10000,car,0.05478211087071505,0.009889934598819589
2600 - 3000,5000 - 10000,pt,0.08041337693449645,0.08262880842239592
2600 - 3000,5000 - 10000,ride,0.014699866404994835,0.03748604243100973
2600 - 3000,5000 - 10000,walk,0.0014923007929669577,1.595150741745095E-4
2600 - 3000,10000 - 20000,bike,0.007413905642428567,0.005981815281544106
2600 - 3000,10000 - 20000,car,0.0441740931201671,0.0109267825809539
2600 - 3000,10000 - 20000,pt,0.06516252660688335,0.10288722284255862
2600 - 3000,10000 - 20000,ride,0.0076820260403931,0.021055989791035255
2600 - 3000,10000 - 20000,walk,4.195500443180223E-4,
2600 - 3000,20000+,bike,7.696474863761435E-4,
2600 - 3000,20000+,car,0.020873916468958396,0.00470569468814803
2600 - 3000,20000+,pt,0.021115394380993573,0.028632955814324453
2600 - 3000,20000+,ride,0.0038320950047968515,0.00486520976232254
2600 - 3000,20000+,walk,8.363439894094326E-5,
3000 - 3600,0 - 1000,bike,0.041578601201133755,0.017517796347879915
3000 - 3600,0 - 1000,car,0.00935144528418262,0.0023522129371711547
3000 - 3600,0 - 1000,pt,0.0027408844677735814,0.008108944599195296
3000 - 3600,0 - 1000,ride,0.004238232155596503,0.0027236149798823893
3000 - 3600,0 - 1000,walk,0.21610179079244532,0.2635097493036212
3000 - 3600,1000 - 2000,bike,0.048032361843383685,0.05645311049210771
3000 - 3600,1000 - 2000,car,0.022248631980859038,0.005013927576601671
3000 - 3600,1000 - 2000,pt,0.015619417507692598,0.03305478180129991
3000 - 3600,1000 - 2000,ride,0.010511951434527548,0.010089755493655216
3000 - 3600,1000 - 2000,walk,0.05613023640342645,0.037202104611575366
3000 - 3600,2000 - 5000,bike,0.055810699822053486,0.08814608480346643
3000 - 3600,2000 - 5000,car,0.05340566727075327,0.011884865366759518
3000 - 3600,2000 - 5000,pt,0.0649126995761758,0.07056638811513465
3000 - 3600,2000 - 5000,ride,0.024697414925814103,0.03051686784277314
3000 - 3600,2000 - 5000,walk,0.0130524613342648,9.285051067780873E-4
3000 - 3600,5000 - 10000,bike,0.026838632927823132,0.03974001857010214
3000 - 3600,5000 - 10000,car,0.059801193655250294,0.01615598885793872
3000 - 3600,5000 - 10000,pt,0.07523156388803977,0.08765088207985144
3000 - 3600,5000 - 10000,ride,0.01738236950056173,0.0425255338904364
3000 - 3600,5000 - 10000,walk,0.001769196174191099,2.476013618074899E-4
3000 - 3600,10000 - 20000,bike,0.00724387263637572,0.003652120086660477
3000 - 3600,10000 - 20000,car,0.04415052329681858,0.009842154131847726
3000 - 3600,10000 - 20000,pt,0.06584003707449936,0.09476942123181678
3000 - 3600,10000 - 20000,ride,0.008299496149072902,0.0209223150727329
3000 - 3600,10000 - 20000,walk,3.060385211975761E-4,
3000 - 3600,20000+,bike,3.183563630855958E-4,1.2380068090374495E-4
3000 - 3600,20000+,car,0.02576104422454801,0.0069328381306097185
3000 - 3600,20000+,pt,0.024333199744034157,0.03540699473847106
3000 - 3600,20000+,ride,0.003943685578895835,0.0038378211080160943
3000 - 3600,20000+,walk,3.4829426552370634E-4,1.2380068090374495E-4
3600 - 4600,0 - 1000,bike,0.048124970698352754,0.017746134636841836
3600 - 4600,0 - 1000,car,0.010255769635116855,0.002762871260825675
3600 - 4600,0 - 1000,pt,0.0021911932092977433,0.007544763827639343
3600 - 4600,0 - 1000,ride,0.004308896419719162,0.0029753998193507267
3600 - 4600,0 - 1000,walk,0.22206106367899595,0.27347112268211055
3600 - 4600,1000 - 2000,bike,0.052227954464321456,0.06269592476489032
3600 - 4600,1000 - 2000,car,0.024946590164323997,0.005950799638701453
3600 - 4600,1000 - 2000,pt,0.01639709800010549,0.03161362308060148
3600 - 4600,1000 - 2000,ride,0.013709334964290705,0.01179533499814038
3600 - 4600,1000 - 2000,walk,0.04659557655612416,0.03464215503958346
3600 - 4600,2000 - 5000,bike,0.06277345647528074,0.0945752085436481
3600 - 4600,2000 - 5000,car,0.05528807677612363,0.010679560065883859
3600 - 4600,2000 - 5000,pt,0.05821114300425074,0.06684023165612883
3600 - 4600,2000 - 5000,ride,0.023037066221417938,0.03187928377875779
3600 - 4600,2000 - 5000,walk,0.012241693578406763,0.0012751713511503116
3600 - 4600,5000 - 10000,bike,0.029793736578995183,0.039264651187503344
