purpose,h,arrival,departure
edu_kiga,5,0.0,7.782101167315174E-6
edu_kiga,6,5.447470817120623E-5,1.4785992217898833E-4
edu_kiga,7,0.0014007782101167316,0.0020778210116731517
edu_kiga,8,0.00619455252918288,0.006536964980544747
edu_kiga,9,0.004093385214007782,0.0030505836575875486
edu_kiga,10,3.657587548638132E-4,3.2684824902723733E-4
edu_kiga,11,1.7120622568093385E-4,1.6342412451361867E-4
edu_kiga,12,8.560311284046692E-5,7.782101167315176E-5
edu_kiga,13,5.447470817120623E-5,3.891050583657588E-5
edu_kiga,14,2.3346303501945526E-5,6.22568093385214E-5
edu_kiga,15,2.3346303501945524E-4,2.256809338521401E-4
edu_kiga,16,8.560311284046692E-5,5.447470817120623E-5
edu_kiga,17,7.782101167315174E-6,0.0
edu_other,5,7.782101167315174E-6,3.891050583657588E-5
edu_other,6,1.0116731517509727E-4,1.867704280155642E-4
edu_other,7,3.035019455252918E-4,6.147859922178988E-4
edu_other,8,0.00111284046692607,0.0012217898832684825
edu_other,9,0.0010583657587548638,8.326848249027237E-4
edu_other,10,5.992217898832685E-4,4.046692607003891E-4
edu_other,11,3.424124513618677E-4,3.813229571984436E-4
edu_other,12,4.669260700389105E-4,4.4357976653696497E-4
edu_other,13,4.669260700389105E-4,4.5914396887159533E-4
edu_other,14,5.992217898832685E-4,7.081712062256809E-4
edu_other,15,7.003891050583658E-4,7.315175097276264E-4
edu_other,16,8.093385214007782E-4,8.015564202334631E-4
edu_other,17,6.926070038910506E-4,5.525291828793774E-4
edu_other,18,4.747081712062257E-4,4.513618677042802E-4
edu_other,19,2.1011673151750973E-4,1.3229571984435797E-4
edu_other,20,2.3346303501945526E-5,2.3346303501945526E-5
edu_other,21,3.11284046692607E-5,1.556420233463035E-5
edu_primary,6,7.003891050583658E-5,1.0894941634241245E-4
edu_primary,7,0.003424124513618677,0.0065603112840466925
edu_primary,8,0.009571984435797666,0.00663035019455253
edu_primary,9,4.902723735408561E-4,2.801556420233463E-4
edu_primary,10,9.33852140077821E-5,8.560311284046692E-5
edu_primary,11,3.891050583657588E-5,5.447470817120623E-5
edu_primary,12,7.782101167315176E-5,7.003891050583658E-5
edu_primary,13,2.256809338521401E-4,2.256809338521401E-4
edu_primary,14,1.4007782101167315E-4,1.4007782101167315E-4
edu_primary,15,1.1673151750972762E-4,1.0894941634241245E-4
edu_primary,16,7.003891050583658E-5,5.447470817120623E-5
edu_primary,17,1.556420233463035E-5,1.556420233463035E-5
edu_primary,18,3.891050583657588E-5,5.447470817120623E-5
edu_primary,19,3.11284046692607E-5,1.556420233463035E-5
edu_primary,22,7.782101167315174E-6,7.782101167315174E-6
edu_secondary,5,0.0,7.782101167315174E-6
edu_secondary,6,4.669260700389105E-5,3.891050583657588E-4
edu_secondary,7,0.004614785992217899,0.009727626459143969
edu_secondary,8,0.010817120622568094,0.005782101167315175
edu_secondary,9,0.00111284046692607,0.0010428015564202336
edu_secondary,10,6.070038910505836E-4,4.280155642023346E-4
edu_secondary,11,3.2684824902723733E-4,1.867704280155642E-4
edu_secondary,12,2.801556420233463E-4,2.801556420233463E-4
edu_secondary,13,2.568093385214008E-4,2.801556420233463E-4
edu_secondary,14,1.867704280155642E-4,1.4785992217898833E-4
edu_secondary,15,1.7120622568093385E-4,2.0233463035019454E-4
edu_secondary,16,1.245136186770428E-4,8.560311284046692E-5
edu_secondary,17,6.22568093385214E-5,8.560311284046692E-5
edu_secondary,18,1.4785992217898833E-4,1.4007782101167315E-4
