employment,dist_group,main_mode,ref_share,sim_share
homemaker,10000 - 20000,ride,0.011126178544959902,0.012751348700343305
homemaker,10000 - 20000,walk,3.6647317815220574E-4,
homemaker,20000+,bike,0.0,
homemaker,20000+,car,0.009155831126737714,0.0029426189308484553
homemaker,20000+,pt,0.012519960684027233,0.012260912211868565
homemaker,20000+,ride,8.732491830433166E-4,0.0029426189308484553
homemaker,20000+,walk,7.902732793286338E-4,
retiree,0 - 1000,bike,0.02803433594931146,0.013779014170216465
retiree,0 - 1000,car,0.015941591246107053,0.003825089107189429
retiree,0 - 1000,pt,0.008575659044152376,0.008562983569503609
retiree,0 - 1000,ride,0.004703006319317826,0.0019125445535947145
retiree,0 - 1000,walk,0.2846270602599153,0.34160653742501956
retiree,1000 - 2000,bike,0.028632402921317548,0.0565504650960619
retiree,1000 - 2000,car,0.03832910463414241,0.00699817438928975
retiree,1000 - 2000,pt,0.032952941858310617,0.039859167173780755
retiree,1000 - 2000,ride,0.01168231876013348,0.009866991219681822
retiree,1000 - 2000,walk,0.06888892277570885,0.04172824480570286
retiree,2000 - 5000,bike,0.024130989117319465,0.08902025558549943
retiree,2000 - 5000,car,0.08303426111525544,0.016821698687298967
retiree,2000 - 5000,pt,0.06608361005813324,0.08702077718855951
retiree,2000 - 5000,ride,0.022716231901212754,0.023385203859862647
retiree,2000 - 5000,walk,0.019871262845775835,0.001130139963487786
retiree,5000 - 10000,bike,0.006523730886384607,0.033339128922889684
retiree,5000 - 10000,car,0.06094744140940063,0.013083543423454753
retiree,5000 - 10000,pt,0.053010003113323496,0.07132921846474834
retiree,5000 - 10000,ride,0.017547687886227004,0.021950795444666608
retiree,5000 - 10000,walk,0.0021268832316059514,2.1733460836303575E-4
retiree,10000 - 20000,bike,0.0027508467688472844,0.0036512214204990003
retiree,10000 - 20000,car,0.033492350519474676,0.00991045814135443
retiree,10000 - 20000,pt,0.03546978470611497,0.06767799704424933
retiree,10000 - 20000,ride,0.011801193617084637,0.011214465791532643
retiree,10000 - 20000,walk,8.557046894452218E-4,
retiree,20000+,bike,2.3940434380408774E-4,8.693384334521429E-5
retiree,20000+,car,0.017904493427535573,0.005737633660784143
retiree,20000+,pt,0.012123209640667017,0.017560636355733288
retiree,20000+,ride,0.006940672029918143,0.0021733460836303575
retiree,20000+,walk,6.289492405314406E-5,
unemployed,0 - 1000,bike,0.028473036460034625,0.014619327890639834
unemployed,0 - 1000,car,0.01206763565093488,0.003607366622365673
unemployed,0 - 1000,pt,0.0066246780260138475,0.009113347256502754
unemployed,0 - 1000,ride,2.788219068772566E-4,0.002468198215302829
unemployed,0 - 1000,walk,0.2900101906591626,0.3358648186823619
unemployed,1000 - 2000,bike,0.06262667569850242,0.06303398519081072
unemployed,1000 - 2000,car,0.028896506543494183,0.006645149041199925
unemployed,1000 - 2000,pt,0.02660096577041169,0.04157964685779381
unemployed,1000 - 2000,ride,0.004606811635231683,0.00816404025061705
unemployed,1000 - 2000,walk,0.06174361569499453,0.039111448642490984
unemployed,2000 - 5000,bike,0.049515654255582325,0.08183026390734764
unemployed,2000 - 5000,car,0.039677051190551225,0.012340991076514145
unemployed,2000 - 5000,pt,0.074237083423941,0.08012151129675338
unemployed,2000 - 5000,ride,0.006255362566946953,0.023352952344788305
unemployed,2000 - 5000,walk,0.029885632074737396,9.493070058857035E-4
unemployed,5000 - 10000,bike,0.0253519458398073,0.03341560660717676
unemployed,5000 - 10000,car,0.03422879715974879,0.012910575280045567
unemployed,5000 - 10000,pt,0.08366977505423692,0.08467818492500476
unemployed,5000 - 10000,ride,0.005622178708513779,0.026200873362445417
unemployed,5000 - 10000,walk,0.0,
unemployed,10000 - 20000,bike,0.00417328864141108,0.0020884754129485475
unemployed,10000 - 20000,car,0.013674574163855544,0.009872792861211316
unemployed,10000 - 20000,pt,0.0734624973685337,0.07404594645908487
unemployed,10000 - 20000,ride,0.0060156277308030595,0.012910575280045567
unemployed,10000 - 20000,walk,0.003155252756840654,
unemployed,20000+,bike,0.0,1.8986140117714068E-4
unemployed,20000+,car,0.007882285969591084,0.004176950825897095
unemployed,20000+,pt,0.020180847789405588,0.013480159483576988
unemployed,20000+,ride,0.0010832072598357227,0.0032276438200113918
unemployed,20000+,walk,0.0,
school,0 - 1000,bike,0.0619376780579444,0.015064508911924825
school,0 - 1000,car,1.8646363364950395E-4,4.4746066075024234E-4
