age,dist_group,main_mode,ref_share,sim_share
12 - 18,0 - 1000,walk,0.15042303841024002,0.26625086625086625
12 - 18,1000 - 2000,bike,0.08907039095672503,0.1112959112959113
12 - 18,1000 - 2000,car,0.0,
12 - 18,1000 - 2000,pt,0.03153953270294179,0.02314622314622315
12 - 18,1000 - 2000,ride,0.008413705601187108,0.01288981288981289
12 - 18,1000 - 2000,walk,0.04486154364307643,0.03451143451143451
12 - 18,2000 - 5000,bike,0.10738683499133327,0.16992376992376992
12 - 18,2000 - 5000,car,2.8289626734024617E-4,
12 - 18,2000 - 5000,pt,0.1982502098544661,0.06458766458766459
12 - 18,2000 - 5000,ride,0.03226378977585894,0.05433125433125433
12 - 18,2000 - 5000,walk,0.007541953274485528,0.0012474012474012475
12 - 18,5000 - 10000,bike,0.013960272491340348,0.0449064449064449
12 - 18,5000 - 10000,car,2.8289626734024617E-4,2.772002772002772E-4
12 - 18,5000 - 10000,pt,0.1562553953337744,0.05876645876645877
12 - 18,5000 - 10000,ride,0.02888306971933015,0.0541926541926542
12 - 18,5000 - 10000,walk,3.5313985281031237E-4,
12 - 18,10000 - 20000,bike,0.0013847631212960678,0.003187803187803188
12 - 18,10000 - 20000,car,1.5275765202577116E-4,2.772002772002772E-4
12 - 18,10000 - 20000,pt,0.05580217779174774,0.046015246015246015
12 - 18,10000 - 20000,ride,0.008904701024528817,0.016216216216216217
12 - 18,10000 - 20000,walk,0.0,
12 - 18,20000+,bike,3.7524183370703706E-4,
12 - 18,20000+,car,0.0,5.544005544005544E-4
12 - 18,20000+,pt,0.009923416953924952,0.011365211365211365
12 - 18,20000+,ride,0.004966212655379155,0.0029106029106029103
12 - 18,20000+,walk,4.4064538253878513E-4,
18 - 25,0 - 1000,bike,0.023985612357814993,0.012437607397103347
18 - 25,0 - 1000,car,0.0048751521373352445,0.002782096391457327
18 - 25,0 - 1000,pt,0.003945859978488251,0.007528025529825709
18 - 25,0 - 1000,ride,0.0020741803522305053,0.002945749120366582
18 - 25,0 - 1000,walk,0.1351326848167619,0.17952704361345223
18 - 25,1000 - 2000,bike,0.03396527152384182,0.051632435970869806
18 - 25,1000 - 2000,car,0.009995183869916418,0.005155060960641518
18 - 25,1000 - 2000,pt,0.024513641618001722,0.03003027575484821
18 - 25,1000 - 2000,ride,0.002668199858536688,0.009819163734555273
18 - 25,1000 - 2000,walk,0.0454726308118391,0.024138777514115046
18 - 25,2000 - 5000,bike,0.06318107428470456,0.08886343179772523
18 - 25,2000 - 5000,car,0.023251875706620247,0.012519433761557973
18 - 25,2000 - 5000,pt,0.10942869085194809,0.07814417805416905
18 - 25,2000 - 5000,ride,0.010494962098131746,0.03191228213730463
18 - 25,2000 - 5000,walk,0.015841120495424313,6.546109156370182E-4
18 - 25,5000 - 10000,bike,0.02439195895689575,0.04803207593486621
18 - 25,5000 - 10000,car,0.030544838428725605,0.015137877424106046
18 - 25,5000 - 10000,pt,0.168861347248276,0.11766631208575402
18 - 25,5000 - 10000,ride,0.012529534856484129,0.05138695687750593
18 - 25,5000 - 10000,walk,0.0013350585299964023,4.091318222731364E-4
18 - 25,10000 - 20000,bike,0.002283609567549982,0.0053187136895507725
18 - 25,10000 - 20000,car,0.023543470141710862,0.013255871041649618
18 - 25,10000 - 20000,pt,0.13983024203024946,0.13280418950986006
18 - 25,10000 - 20000,ride,0.009738847778169045,0.024138777514115046
18 - 25,10000 - 20000,walk,4.604034741650371E-4,2.4547909336388184E-4
18 - 25,20000+,bike,3.5986747432398253E-4,
18 - 25,20000+,car,0.019844536404905074,0.006055150969642418
18 - 25,20000+,pt,0.05191307482568159,0.043204320432043204
18 - 25,20000+,ride,0.005441470777446019,0.0038458391293674818
18 - 25,20000+,walk,9.559874382553338E-5,4.091318222731364E-4
25 - 35,0 - 1000,bike,0.027106712812148912,0.017779371829686943
25 - 35,0 - 1000,car,0.005799403954703484,0.0028180560536967773
25 - 35,0 - 1000,pt,0.0012793413488256476,0.00865911769226828
25 - 35,0 - 1000,ride,9.365409275199194E-4,0.002664343905313317
25 - 35,0 - 1000,walk,0.22308917916513982,0.23461597581595534
25 - 35,1000 - 2000,bike,0.03887928821157382,0.04380796228928627
25 - 35,1000 - 2000,car,0.015574030733198636,0.0068145719116667535
25 - 35,1000 - 2000,pt,0.014062407046561292,0.035353794128195934
25 - 35,1000 - 2000,ride,0.0027015671389454213,0.01029871394169186
25 - 35,1000 - 2000,walk,0.052768578676936344,0.027002100732694576
25 - 35,2000 - 5000,bike,0.06756351305973911,0.08761592457857253
25 - 35,2000 - 5000,car,0.034191942712571796,0.012194497105087874
25 - 35,2000 - 5000,pt,0.07993094118194077,0.0772659732540862
25 - 35,2000 - 5000,ride,0.006927040925022772,0.032074601629348776
25 - 35,2000 - 5000,walk,0.014527745750548078,0.0017420710150125533
25 - 35,5000 - 10000,bike,0.045197832270416655,0.04478147256238152
25 - 35,5000 - 10000,car,0.040923114642814944,0.014346467182456323
25 - 35,5000 - 10000,pt,0.1171130342590929,0.09899062355894862
25 - 35,5000 - 10000,ride,0.007459596516540124,0.04713839217092791
25 - 35,5000 - 10000,walk,0.0011933932411686545,5.636112107393554E-4
25 - 35,10000 - 20000,bike,0.010371145878011872,0.004662601834298305
25 - 35,10000 - 20000,car,0.03712292596737467,0.009427678434185583
25 - 35,10000 - 20000,pt,0.08308853196758968,0.10431931136957524
25 - 35,10000 - 20000,ride,0.004273422149218089,0.024286519444586773
25 - 35,10000 - 20000,walk,4.695910455690704E-4,1.537121483834606E-4
25 - 35,20000+,bike,8.650285684158124E-4,1.0247476558897371E-4
25 - 35,20000+,car,0.02253131207868767,0.005431162576215608
25 - 35,20000+,pt,0.0408167755116256,0.03929907260337143
