link_id,name,road_type,hour,observed_traffic_volume,simulated_traffic_volume,geh
1101002048#3,10014_Mariendorfer Damm_Nord,primary,5,41.33742708333329,0.0,9.092571372646276
1101002048#3,10014_Mariendorfer Damm_Nord,primary,4,14.29911979166671,100.0,11.336495952870484
1101002048#3,10014_Mariendorfer Damm_Nord,primary,3,10.90578125,100.0,11.964303713292438
1101002048#3,10014_Mariendorfer Damm_Nord,primary,2,6.742937499999999,100.0,12.76518620662375
1101002048#3,10014_Mariendorfer Damm_Nord,primary,1,5.771526041666671,0.0,3.397506745149057
1101002048#3,10014_Mariendorfer Damm_Nord,primary,0,12.84792708333333,100.0,11.60234903262258
970998067,10018_Gradestrasse_West,secondary,0,7.03925,0.0,3.7521327268634836
970998067,10018_Gradestrasse_West,secondary,1,2.831541666666664,100.0,13.55118070710195
970998067,10018_Gradestrasse_West,secondary,2,2.785166666666664,0.0,2.360155362117784
970998067,10018_Gradestrasse_West,secondary,3,11.81325,0.0,4.860709824706675
970998067,10018_Gradestrasse_West,secondary,4,26.43420833333336,0.0,7.271067092708382
970998067,10018_Gradestrasse_West,secondary,5,36.42416666666664,0.0,8.53512351013934
970998067,10018_Gradestrasse_West,secondary,6,83.4154583333336,100.0,1.7318110401752072
970998067,10018_Gradestrasse_West,secondary,7,66.64966666666665,0.0,11.545533046738608
970998067,10018_Gradestrasse_West,secondary,8,76.11037499999999,300.0,16.326432982836902
970998067,10018_Gradestrasse_West,secondary,9,64.69454166666664,200.0,11.761367538486947
970998067,10018_Gradestrasse_West,secondary,10,59.62279166666664,300.0,17.9260531981218
970998067,10018_Gradestrasse_West,secondary,11,56.17033333333335,0.0,10.599088011082213
970998067,10018_Gradestrasse_West,secondary,12,53.90379166666664,300.0,18.500237871499348
970998067,10018_Gradestrasse_West,secondary,13,51.884416666666645,0.0,10.186698843753716
970998067,10018_Gradestrasse_West,secondary,14,45.75629166666664,100.0,6.354051269320842
970998067,10018_Gradestrasse_West,secondary,15,37.81645833333336,200.0,14.873076930516618
970998067,10018_Gradestrasse_West,secondary,16,28.685375,100.0,8.890557691319156
970998067,10018_Gradestrasse_West,secondary,17,23.395625,0.0,6.840412999227459
970998067,10018_Gradestrasse_West,secondary,18,17.556833333333362,100.0,10.75339807951707
970998067,10018_Gradestrasse_West,secondary,19,11.75316666666664,0.0,4.848333046866034
970998067,10018_Gradestrasse_West,secondary,20,9.12279166666664,0.0,4.271484909645975
970998067,10018_Gradestrasse_West,secondary,21,10.028333333333359,300.0,23.29002044550081
970998067,10018_Gradestrasse_West,secondary,22,8.64029166666664,0.0,4.156992101668378
970998067,10018_Gradestrasse_West,secondary,23,7.467625,0.0,3.8646151166707403
39981760,10019_Gradestrasse_Ost,secondary,23,8.98420833333336,0.0,4.238916921415979
39981760,10019_Gradestrasse_Ost,secondary,22,12.794791666666642,0.0,5.058614764274236
39981760,10019_Gradestrasse_Ost,secondary,21,17.79029166666664,0.0,5.964946213783765
39981760,10019_Gradestrasse_Ost,secondary,20,19.864208333333362,0.0,6.303048204374351
39981760,10019_Gradestrasse_Ost,secondary,19,17.056083333333362,200.0,17.560908881657735
39981760,10019_Gradestrasse_Ost,secondary,18,21.69075,100.0,10.039203981511806
39981760,10019_Gradestrasse_Ost,secondary,17,27.00091666666664,300.0,21.350187901187347
39981760,10019_Gradestrasse_Ost,secondary,16,36.53854166666664,300.0,20.310222681553032
39981760,10019_Gradestrasse_Ost,secondary,15,43.94658333333336,100.0,6.60718408368885
39981760,10019_Gradestrasse_Ost,secondary,14,54.145916666666636,100.0,5.223083891305891
39981760,10019_Gradestrasse_Ost,secondary,13,65.62404166666664,200.0,11.660116298382524
39981760,10019_Gradestrasse_Ost,secondary,12,74.92008333333337,100.0,2.6817682771717797
39981760,10019_Gradestrasse_Ost,secondary,11,63.976,100.0,3.978476414001638
39981760,10019_Gradestrasse_Ost,secondary,10,61.76470833333336,100.0,4.251454306353104
39981760,10019_Gradestrasse_Ost,secondary,9,62.44354166666663,0.0,11.175288959724185
39981760,10019_Gradestrasse_Ost,secondary,8,55.98945833333337,200.0,12.729115906774474
39981760,10019_Gradestrasse_Ost,secondary,7,51.212208333333365,200.0,13.275837416081256
39981760,10019_Gradestrasse_Ost,secondary,6,34.57908333333336,200.0,15.274281087197394
39981760,10019_Gradestrasse_Ost,secondary,5,19.651,200.0,17.209257939079027
39981760,10019_Gradestrasse_Ost,secondary,4,13.76245833333336,0.0,5.246419413911426
39981760,10019_Gradestrasse_Ost,secondary,3,5.671208333333336,200.0,19.163083778514487
39981760,10019_Gradestrasse_Ost,secondary,2,5.502291666666664,100.0,13.01083974715158
39981760,10019_Gradestrasse_Ost,secondary,1,5.5735,0.0,3.338712326631332
39981760,10019_Gradestrasse_Ost,secondary,0,19.518416666666642,0.0,6.247946329261582
1116279078#0,10021_Roedernallee_Nord,primary,0,9.48800523560211,100.0,12.233137645966268
1116279078#0,10021_Roedernallee_Nord,primary,1,6.0971465968586385,0.0,3.4920328168156263
1116279078#0,10021_Roedernallee_Nord,primary,2,5.606376963350786,200.0,19.17249890855974
1116279078#0,10021_Roedernallee_Nord,primary,3,7.03122513089003,200.0,18.966365315707474
1116279078#0,10021_Roedernallee_Nord,primary,4,11.32841884816754,0.0,4.759919925412095
1116279078#0,10021_Roedernallee_Nord,primary,5,23.19059685863872,100.0,9.78679763862257
1116279078#0,10021_Roedernallee_Nord,primary,6,39.17189005235604,100.0,7.291947907178932
1116279078#0,10021_Roedernallee_Nord,primary,7,40.14254450261783,200.0,14.588590696214295
1116279078#0,10021_Roedernallee_Nord,primary,8,39.59636125654447,400.0,24.309561244638413
1116279078#0,10021_Roedernallee_Nord,primary,9,43.50093193717278,300.0,19.572073117470293
1116279078#0,10021_Roedernallee_Nord,primary,10,45.20288481675393,300.0,19.39421903874125
1116279078#0,10021_Roedernallee_Nord,primary,11,50.70745026178013,200.0,13.334278241076618
1116279078#0,10021_Roedernallee_Nord,primary,12,58.36691623036652,200.0,12.46123993208595
1116279078#0,10021_Roedernallee_Nord,primary,13,64.31149214659686,100.0,3.93739892514475
1116279078#0,10021_Roedernallee_Nord,primary,14,53.02063874345553,0.0,10.297634557844392
1116279078#0,10021_Roedernallee_Nord,primary,15,49.700623036649205,100.0,5.813876466013564
1116279078#0,10021_Roedernallee_Nord,primary,16,41.39525130890051,0.0,9.098928652198621
1116279078#0,10021_Roedernallee_Nord,primary,17,30.970895287958147,300.0,20.91314563609877
1116279078#0,10021_Roedernallee_Nord,primary,18,22.685937172774892,0.0,6.735864780824344
1116279078#0,10021_Roedernallee_Nord,primary,19,14.344722513089009,200.0,17.93353478227548
